"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","COLOR_CHANGE","0","0"
"*","1","COLOR_CHANGE","0","0"
"*","2","JUMP","0","0"
"*","3","STITCH","257","235.0"
"*","4","STITCH","260","235.0"
"*","5","STITCH","258","237.0"
"*","6","STITCH","261","237.0"
"*","7","STITCH","259","239.0"
"*","8","STITCH","261","239.0"
"*","9","STITCH","259","241.0"
"*","10","STITCH","263","241.0"
"*","11","STITCH","263","245.0"
"*","12","STITCH","264","245.0"
"*","13","STITCH","261","247.0"
"*","14","STITCH","262","247.0"
"*","15","STITCH","263","251.0"
"*","16","STITCH","264","251.0"
"*","17","STITCH","261","253.0"
"*","18","STITCH","262","253.0"
"*","19","STITCH","261","257.0"
"*","20","STITCH","265","257.0"
"*","21","STITCH","263","259.0"
"*","22","STITCH","265","259.0"
"*","23","STITCH","263","261.0"
"*","24","STITCH","272","261.0"
"*","25","STITCH","265","263.0"
"*","26","STITCH","277","263.0"
"*","27","STITCH","238","265.0"
"*","28","STITCH","264","265.0"
"*","29","STITCH","237","267.0"
"*","30","STITCH","277","267.0"
"*","31","STITCH","242","269.0"
"*","32","STITCH","274","269.0"
"*","33","STITCH","211","271.0"
"*","34","STITCH","267","271.0"
"*","35","STITCH","191","273.0"
"*","36","STITCH","210","273.0"
"*","37","STITCH","170","275.0"
"*","38","STITCH","267","275.0"
"*","39","STITCH","168","277.0"
"*","40","STITCH","263","277.0"
"*","41","STITCH","163","279.0"
"*","42","STITCH","283","279.0"
"*","43","STITCH","161","283.0"
"*","44","STITCH","284","283.0"
"*","45","STITCH","158","285.0"
"*","46","STITCH","281","285.0"
"*","47","STITCH","188","287.0"
"*","48","STITCH","280","287.0"
"*","49","STITCH","157","289.0"
"*","50","STITCH","248","289.0"
"*","51","STITCH","156","291.0"
"*","52","STITCH","240","291.0"
"*","53","STITCH","155","293.0"
"*","54","STITCH","272","293.0"
"*","55","STITCH","155","295.0"
"*","56","STITCH","278","295.0"
"*","57","STITCH","154","297.0"
"*","58","STITCH","278","297.0"
"*","59","STITCH","151","299.0"
"*","60","STITCH","283","299.0"
"*","61","STITCH","151","301.0"
"*","62","STITCH","283","301.0"
"*","63","STITCH","267","303.0"
"*","64","STITCH","283","303.0"
"*","65","STITCH","151","305.0"
"*","66","STITCH","266","305.0"
"*","67","STITCH","154","307.0"
"*","68","STITCH","247","307.0"
"*","69","STITCH","154","309.0"
"*","70","STITCH","209","309.0"
"*","71","STITCH","193","311.0"
"*","72","STITCH","204","311.0"
"*","73","STITCH","197","313.0"
"*","74","STITCH","200","313.0"
"*","75","STITCH","198","317.0"
"*","76","STITCH","282","317.0"
"*","77","STITCH","199","319.0"
"*","78","STITCH","282","319.0"
"*","79","STITCH","204","321.0"
"*","80","STITCH","282","321.0"
"*","81","STITCH","281","323.0"
"*","82","STITCH","282","323.0"
"*","83","STITCH","204","325.0"
"*","84","STITCH","280","325.0"
"*","85","STITCH","205","327.0"
"*","86","STITCH","272","327.0"
"*","87","STITCH","205","329.0"
"*","88","STITCH","261","329.0"
"*","89","STITCH","206","331.0"
"*","90","STITCH","280","331.0"
"*","91","STITCH","208","333.0"
"*","92","STITCH","278","333.0"
"*","93","STITCH","208","335.0"
"*","94","STITCH","277","335.0"
"*","95","STITCH","209","337.0"
"*","96","STITCH","275","337.0"
"*","97","STITCH","210","339.0"
"*","98","STITCH","273","339.0"
"*","99","STITCH","210","341.0"
"*","100","STITCH","273","341.0"
"*","101","STITCH","211","343.0"
"*","102","STITCH","272","343.0"
"*","103","STITCH","211","345.0"
"*","104","STITCH","263","345.0"
"*","105","COLOR_CHANGE","263","345.0"
"*","106","JUMP","263","345.0"
"*","107","STITCH","162","381.0"
"*","108","STITCH","204","381.0"
"*","109","STITCH","168","383.0"
"*","110","STITCH","203","383.0"
"*","111","STITCH","172","385.0"
"*","112","STITCH","202","385.0"
"*","113","JUMP","202","385.0"
"*","114","STITCH","174","311.0"
"*","115","STITCH","188","311.0"
"*","116","STITCH","166","313.0"
"*","117","STITCH","188","313.0"
"*","118","STITCH","143","315.0"
"*","119","STITCH","177","315.0"
"*","120","STITCH","158","317.0"
"*","121","STITCH","195","317.0"
"*","122","STITCH","144","319.0"
"*","123","STITCH","197","319.0"
"*","124","STITCH","129","321.0"
"*","125","STITCH","202","321.0"
"*","126","STITCH","139","323.0"
"*","127","STITCH","202","323.0"
"*","128","STITCH","201","327.0"
"*","129","STITCH","203","327.0"
"*","130","JUMP","203","327.0"
"*","131","STITCH","347","287.0"
"*","132","STITCH","360","287.0"
"*","133","STITCH","317","289.0"
"*","134","STITCH","345","289.0"
"*","135","STITCH","313","291.0"
"*","136","STITCH","360","291.0"
"*","137","STITCH","313","293.0"
"*","138","STITCH","360","293.0"
"*","139","STITCH","314","295.0"
"*","140","STITCH","362","295.0"
"*","141","STITCH","313","297.0"
"*","142","STITCH","362","297.0"
"*","143","STITCH","313","299.0"
"*","144","STITCH","363","299.0"
"*","145","STITCH","312","301.0"
